Date,Ticker,Company,Market,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_20,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI,MACD,MACD_Signal,MACD_Hist,52W_High,52W_Low,52W_Pct
2025-01-06,HDFCBANK.NS,HDFC Bank,India,858.4463541498661,866.8823129474961,841.5251154360177,843.84375,18816348,-2.2124382653746166,16.943149308746875,892.4714782714843,878.8643994140625,,1.0554920605322,892.4714782714843,22.380780218162453,937.2330387078092,847.7099178351594,10.030922337824826,21.40483034781157,-5.701427381964436,0.2671617406696982,-5.968589122634134,,,
2025-01-07,HDFCBANK.NS,HDFC Bank,India,846.063732614296,849.0237223493897,838.6637582765616,845.2744140625,13527906,0.16954134725770675,17.141416299610523,888.6086883544922,878.5067333984375,,1.0290709161265796,888.6086883544922,23.55586818590302,935.7204247262982,841.4969519826861,10.603483173014348,25.181211960348037,-7.798220295273495,-1.3459146665189405,-6.452305628754555,,,
2025-01-08,HDFCBANK.NS,HDFC Bank,India,842.7338203435289,844.4111600559388,830.4498497882179,835.8518676757812,19738190,-1.114732237242666,15.835603168956137,884.3216400146484,878.0222827148438,,1.0368945673345944,884.3216400146484,24.995212338891545,934.3120646924315,834.3312153368654,11.305937210120735,25.546253434146266,-10.103794280478724,-3.0974905893108975,-7.006303691167826,,,
2025-01-09,HDFCBANK.NS,HDFC Bank,India,830.844525028491,833.237171528912,817.9932112311335,822.778564453125,40420222,-1.5640693917462478,14.02385395504584,879.5042602539063,877.3671398925782,,1.062987806979369,879.5042602539063,27.127869495126905,933.7599992441601,825.2485212636525,12.337800154507626,24.585564600693203,-12.837897297697623,-5.045571930988244,-7.792325366709379,,,
2025-01-10,HDFCBANK.NS,HDFC Bank,India,824.3571854708366,826.2811909461473,815.9705474379197,817.3272094726562,17453280,-0.6625543270068146,13.268383976846753,874.50927734375,876.4288232421875,,1.0601950251451528,874.50927734375,28.952318524776565,932.4139143933031,816.6046402941969,13.242772501038225,25.72458893851889,-15.26856590167938,-7.090170725126471,-8.17839517655291,,,
2025-01-13,HDFCBANK.NS,HDFC Bank,India,809.0639234971638,812.3939122066796,801.3186405131205,804.5499267578125,21669066,-1.563300789054567,11.497658436387347,868.5670989990234,875.4051611328125,,1.0400320930580744,868.5670989990234,30.54328479209747,929.6536685832184,807.4805294148284,14.066056532556656,13.447947945553551,-18.018205555536383,-9.275777691208454,-8.74242786432793,,,
2025-01-14,HDFCBANK.NS,HDFC Bank,India,809.0145872775671,817.0558570637163,807.5839134440961,812.3198852539062,26661432,0.9657521848774886,12.574449508823982,863.1749847412109,874.5260437011718,,1.1018688327949697,863.1749847412109,30.474452120385074,924.123888981981,802.2260805004407,14.122027472574011,19.15719118805677,-19.34732021279558,-11.29008619552588,-8.0572340172697,,,
2025-01-15,HDFCBANK.NS,HDFC Bank,India,817.2038902170349,820.2625224034592,807.2386148292592,810.568603515625,14022892,-0.2155901597477028,12.331750073292813,858.4834014892579,873.5961145019531,,1.0738949953601395,858.4834014892579,31.011747061790576,920.506895612839,796.4599073656767,14.449549989198538,19.458260783694726,-20.307870465123074,-13.093643049445319,-7.214227415677755,,,
2025-01-16,HDFCBANK.NS,HDFC Bank,India,815.4032351586193,819.2019251337407,810.4699184801376,815.0086059570312,21212454,0.5477639304247495,12.947062882609185,854.5700500488281,872.9838916015625,,1.0873240329983695,854.5700500488281,31.326894970154346,917.2238399891368,791.9162601085194,14.663230928050613,19.954813878027977,-20.474821374439898,-14.569878714444236,-5.904942659995662,,,
2025-01-17,HDFCBANK.NS,HDFC Bank,India,810.7905598983193,814.2438814190301,803.3905852110819,807.4605712890625,23112076,-0.9261294436401002,11.901026877526654,850.703564453125,871.78904296875,,1.0867634087744524,850.703564453125,32.16172856446464,915.0270215820542,786.3801073241957,15.122413921065348,20.377771177058293,-20.974414494860184,-15.850785870527428,-5.123628624332756,,,
